Time / min,4-SO2Me-ArOPh,Product,Mass Balance
37.52496667,92.24130503,28.0115304,120.2528354
37.77568333,92.28386138,28.08436101,120.3682224
38.02798333,92.09765839,28.24043068,120.3380891
38.27845,92.02812654,28.29647832,120.3246049
38.52281667,91.92717926,28.46717717,120.3943564
38.77355,91.86792372,28.41534051,120.2832642
39.02505,91.78366324,28.49085233,120.2745156
39.27551667,91.76169476,28.61978418,120.3814789
39.52651667,91.63599631,28.72483384,120.3608301
39.77855,91.4397634,28.90254932,120.3423127
40.02901667,91.29993886,28.9614451,120.261384
40.27321667,91.37592,29.01533131,120.3912513
40.52463333,91.20886754,29.10515471,120.3140222
40.77508333,91.18896321,29.1535748,120.342538
41.02658333,91.12182352,29.20426579,120.3260893
41.27731667,91.08838222,29.27719066,120.3655729
41.52965,90.98817788,29.36877387,120.3569518
41.78011667,90.89816145,29.45904044,120.3572019
42.03186667,90.75057656,29.59615803,120.3467346
42.27478333,90.67514707,29.65792817,120.3330752
42.5259,90.56838966,29.71608604,120.2844757
42.77765,90.54882241,29.79468275,120.3435052
43.02838333,90.50878173,29.79102304,120.2998048
43.27961667,90.52063402,29.8695198,120.3901538
43.5316,90.47238313,29.90991233,120.3822955
43.78311667,90.42567909,29.94712257,120.3728017
44.02628333,90.23821493,30.04956669,120.2877816
44.27778333,90.17706934,30.16169569,120.338765
44.52911667,90.15187146,30.266453,120.4183245
44.77946667,90.09760797,30.2738832,120.3714912
45.03088333,90.07459478,30.31635683,120.3909516
45.28265,89.98272315,30.42607602,120.4087992
45.53415,89.7774485,30.4614466,120.2388951
45.7781,89.10689183,31.09541289,120.2023047
46.02873333,88.07971146,32.04366178,120.1233732
46.28016667,87.1401341,32.86818858,120.0083227
46.53078333,86.61628274,33.45582207,120.0721048
46.782,85.75188758,34.30852081,120.0604084
47.03406667,85.01899419,35.02680674,120.0458009
47.27821667,84.26710844,35.81329814,120.0804066
47.52923333,83.53996129,36.52422379,120.0641851
47.78005,82.80810506,37.24270117,120.0508062
48.03166667,82.22924305,37.83831889,120.0675619
48.2822,81.5265264,38.53883533,120.0653617
48.5335,80.86331983,39.14573614,120.009056
48.78535,80.32104085,39.72276166,120.0438025
49.02928333,79.66881935,40.45454593,120.1233653
49.27985,79.04603121,41.05611949,120.1021507
49.5314,78.54855459,41.58574565,120.1343002
49.78298333,77.87129234,42.21469838,120.0859907
50.03321667,77.40716605,42.75015333,120.1573194
