T,A,P
177.6336333,112.1940142,7.939575757
178.1333667,111.823622,7.861604766
178.63335,112.3486691,8.077370677
179.1400667,111.9936192,8.01082326
179.6396833,112.1438287,8.313190494
180.13935,112.5269521,8.23121836
180.63945,112.0184429,8.156781658
181.139,112.2109694,8.164443687
181.6384167,112.1917532,8.20133599
182.13775,112.2530841,8.068644989
182.63735,112.1781657,8.025403256
183.1369333,112.0856097,8.121773478
183.6368167,112.1469993,8.158704231
184.13635,112.0790024,8.193400039
184.6367167,112.0213831,8.284518968
185.13625,112.0219,8.511357135
185.6355833,111.8538249,8.248258972
186.13515,112.1688218,8.510784393
186.6342667,111.8346251,8.208176161
187.14145,111.9956839,8.565051646
187.6418,111.9278921,8.384566998
188.1413833,111.7475178,8.430439038
188.6398,112.0159595,8.515860295
189.13935,111.775971,8.53651387
189.6395333,111.7351148,8.319045278
190.1391,111.9731378,8.578926679
190.6385167,111.942413,8.350814784
191.1379,111.8066541,8.353093218
191.6372833,111.7281721,8.681048812
192.1368333,111.5892508,8.482874821
192.6370167,111.7366373,8.591098778
193.1364833,111.5988953,8.744761136
193.6359167,111.8020751,8.64354185
194.1427667,111.8284114,8.717560295
194.6420833,111.6715308,8.510447165
195.14165,111.6990281,8.795613235
195.642,111.7231984,8.795017834
196.1416,111.435566,8.524893082
196.6402167,111.903368,8.758765416
197.1398,111.6363755,8.575687232
197.63965,111.6626256,8.642435649
198.13925,111.5219198,8.811779418
198.6386667,111.6031603,8.892347132
199.1380833,111.4931619,8.788265058
199.6383833,111.6404108,8.994123553
200.1377833,111.7235631,8.79444707
200.6372667,111.3940746,8.895411037
201.1366333,111.3254997,8.973707644
201.6433333,111.6246697,8.944746177
202.1429,111.4830244,8.916884623
202.64325,111.5987925,8.86307606
203.1427667,111.4655573,8.933220686
203.6420833,111.3556692,9.062298108
204.1417333,111.4561375,9.007242889
204.6404333,111.3100819,9.125956072
205.1401,111.3445571,9.020035125
205.6398333,111.3748419,8.913192468
206.1394,111.316031,9.179182083
206.6398,111.2654901,9.03003754
207.1383333,111.2225309,9.156321221
207.6387,111.423526,9.262234636
208.1383,111.3924358,9.026124527
208.6370167,111.1505185,9.40282266
209.1445833,111.3203988,9.169968833
209.64415,111.2489916,9.336574947
210.1435333,111.1030123,9.362896352
210.6429167,111.0046933,9.270849134
211.14235,111.0590115,9.399693548
211.6426833,111.1275889,9.455251843
212.1421833,111.1110939,9.388585914
212.6409833,111.2168889,9.359311336
213.1404333,111.0024518,9.418734761
213.6401833,111.114235,9.253094964
214.1397667,111.0067137,9.243067289
214.6401167,111.0401336,9.284482015
215.1397,111.0768943,9.38745467
215.6390333,110.9334415,9.340846183
216.13865,111.0722447,9.345050624
216.63745,110.9392942,9.579637417
217.1449333,111.0435936,9.509749607
217.6440333,111.009251,9.439967949
218.1436167,111.0225848,9.618067444
218.6443,111.0251623,9.605051033
219.1437333,110.794828,9.518765405
219.6421667,110.7492967,9.540528521
220.1417833,110.8283092,9.712061022
220.6413667,110.6975174,9.535081763
221.1409333,110.7929703,9.679404736
221.6405333,110.7922471,9.692981011
222.14015,110.7781502,9.745119107
222.6403667,110.809093,9.772073561
223.1399167,110.7301665,9.909265802
223.6392833,110.8608103,9.686592132
224.1388667,110.6646768,9.896626028
224.6392,110.5287143,9.858274968
225.1451,110.3573602,9.579644369
225.6454167,110.1535174,9.778806282
226.1449667,110.1829551,9.80138638
226.6452333,110.2822414,9.995093712
227.1447833,110.1670247,9.851490929
227.6442833,110.2974596,9.911758165
228.1435667,110.0650625,9.639011575
228.6439667,110.2621024,9.801096238
229.1432,110.0955827,9.946402246
229.6433667,110.2914864,10.07734149
230.1427833,110.1950701,10.15638845
230.6426333,110.5181066,10.063935
231.1433167,110.3705175,9.889697292
231.6428333,110.5006913,10.26481357
232.1430833,110.3249212,10.20075892
232.6432333,110.2545704,10.16838145
233.1427833,110.1210551,10.19254599
233.6428,110.3610298,10.4453791
234.1433,110.2354668,10.10914102
234.6428167,110.361354,10.29803738
235.1431,110.4641533,10.43115836
235.6431,110.1147866,10.44528979
236.1428,110.1355707,10.18628138
236.6428167,110.3666356,10.24363332
237.1431333,110.1908261,10.26521728
237.64295,110.1495649,10.39727177
238.14305,110.1425881,10.29419724
238.6430333,110.1064909,10.22204781
239.14255,109.9959711,10.39217942
239.6425167,110.0829208,10.32820183
240.1431667,110.0872228,10.53727887
240.64285,109.8652995,10.16190819
241.1431333,109.9727829,10.51267632
241.64315,109.8067264,10.38582126
242.1424167,109.7776475,10.51237827
242.6421,109.8489317,10.26227545
243.1431833,109.9282186,10.58496307
243.64285,109.7994982,10.63704993
244.1420833,109.9241801,10.3070785
244.64215,109.854853,10.372292
245.1423333,109.6879213,10.33697569
245.6418333,109.7371136,10.25230955
246.1416333,109.7504205,10.60385236
246.6427167,109.8489473,10.44671531
247.1419833,109.6924156,10.69117516
247.6419833,109.7912288,10.60372452
248.1422,109.6517122,10.31852816
248.6418667,109.6453905,10.65870695
249.14115,109.4084255,10.51368119
249.6411833,109.4951314,10.36036197
250.14195,109.3525543,10.60459696
250.6485333,109.7960924,10.77880232
251.1483833,109.5336553,10.62103316
251.6494333,109.3155685,10.58356208
252.1486333,109.4972115,10.80471786
252.6486333,109.5375599,10.65186918
253.1488667,109.5082693,10.5631743
253.6485667,109.2974071,10.70907203
254.1481667,109.3908754,10.58988445
254.6480833,109.507535,10.8371839
255.1486333,109.2273997,10.80647163
255.6486,109.4936893,10.57303836
256.1488333,109.3549111,10.87664124
256.6485833,109.3117872,10.82873362
257.1482167,109.4316609,11.04788625
257.6494667,109.136441,10.71284522
258.1486667,109.4164167,10.74079037
258.6486833,109.355878,10.97949893
259.1489333,109.2523586,11.01035293
259.6486,109.2442095,10.96618208
260.1480167,109.2727805,10.76645807
260.64795,108.9276817,10.73792158
261.1486833,109.1749511,10.9613472
261.6487167,109.1011947,10.59426338
262.1479333,109.2934727,10.89272166
262.6485667,109.2194213,11.10898247
263.14755,109.1781108,10.875718
263.64745,109.1394121,11.1556181
264.1473667,109.1998681,11.09731581
264.6472667,109.3218621,11.28912751
265.1479333,109.3719175,11.06421226
265.6474667,109.124199,11.27693757
266.14765,109.1364618,11.23024186
266.6472,109.0941096,11.08474782
267.14675,109.0317386,11.23854192
267.6466,109.2319964,11.13453595
268.1464833,109.091501,10.85512039
268.6474667,109.1121714,11.04547426
269.1465333,108.8988306,11.03117194
269.6462167,108.8543341,11.26566204
270.1464667,109.1821463,11.2363589
270.6464833,108.869337,11.07136179
271.1458833,109.0299503,11.17449137
271.6458833,108.9602219,11.26976825
272.1465167,108.9879329,11.30432386
272.6462333,108.7004809,11.23058092
273.1464833,108.9797544,11.38645972
273.6454667,109.0721665,11.29862884
274.14575,108.7623731,11.35360908
274.64535,109.0251953,11.27520667
275.1464833,108.71347,11.33219038
275.6527833,108.5822246,11.34390655
276.1530167,108.7215474,11.34079915
276.6530167,108.8415539,11.40595856
277.1526,108.5078928,11.4667197
277.6526167,108.815599,11.60559363
278.1531333,108.6643064,11.50929517
278.6529333,108.5691384,11.54763922
279.1531333,108.7329941,11.40586639
279.6531333,108.8048682,11.75442924
280.15255,108.7495134,11.56201378
280.65255,108.7706082,11.46827468
281.1531833,108.8220651,11.6335365
281.6527833,108.5449738,11.60323619
282.1529833,108.7755351,11.55800946
282.65295,108.606106,11.50903409
283.1526333,108.3983335,11.59803733
283.6526167,108.7156751,11.591801
284.1531167,108.5837566,11.4405754
284.6529833,108.2151073,11.47209923
285.1532167,108.7097105,11.65477033
285.6532167,108.3858206,11.62743142
286.1526667,108.5799159,11.67486005
286.6527,108.6695105,11.7763096
287.1532167,108.3759947,11.67916256
287.6529833,108.5502333,11.84045221
288.1532,108.4353765,11.73587539
288.6531833,108.4087118,11.92630886
289.1527,108.3254594,11.9059416
289.6527667,108.1692295,11.63904467
290.15335,108.2875799,11.74822384
290.6530333,108.2853044,11.82799874
291.1532667,108.4395799,11.82492347
291.6532667,108.2786067,11.74190945
292.1527667,108.0411452,11.99349817
292.6526833,108.2848914,11.84530564
293.1533,108.3302534,11.82874198
293.6529,108.2605355,11.90105476
294.1531667,108.2900716,12.00788665
294.6532167,108.355345,12.06063608
295.1527,108.2511086,11.93088445
295.65265,108.372213,12.13498404
296.1533167,108.2229756,12.02257974
296.6529,108.0742252,12.1022814
297.1531833,108.216354,12.02945916
297.6532,108.2671175,12.12771055
298.1526,108.1065265,12.01986935
298.6526333,108.0224626,12.03290587
299.15335,108.0967856,12.13137633
299.6529167,108.1299658,12.20815419
300.1532,108.0028242,11.9129481
300.6532,108.1254303,12.03756408
301.1525667,108.0204466,12.30316684
301.6526333,107.883959,12.33966458
302.1533667,108.045263,12.13415142
302.6529333,107.9890199,12.18984824
303.1532,108.0523315,12.26734689
303.6532167,107.9458198,12.05772482
304.15265,108.1557123,12.28526351
304.6526333,107.8451176,12.21590177
305.1534,108.0523761,12.34295836
305.6529667,107.876172,12.268507
306.1532333,108.0795955,12.2777536
306.65325,107.8009612,12.42829817
307.1526167,107.7872413,12.50282219
307.6526,107.8196031,12.32651605
308.1534167,107.9240976,12.39105543
308.6529833,107.8369834,12.15205936
309.1532667,107.6406298,12.22403676
309.6532833,107.7668938,12.46200081
310.1525833,107.695338,12.43728573
310.6525667,107.8415105,12.37518397
311.1534333,107.6576552,12.51892279
311.653,107.9362586,12.39265549
312.15325,107.7519968,12.45396706
312.6609667,107.7187495,12.43415472
313.1599333,107.5632818,12.46149228
313.6607333,107.7245304,12.47845515
314.1599167,107.7266217,12.48831946
314.6599167,107.6761141,12.54869769
315.1598833,107.765849,12.48882403
315.661,107.7012319,12.58250616
316.1600167,107.5890083,12.61285131
316.66075,107.6332962,12.51524792
317.1684167,107.4874332,12.68044375
317.66745,107.52718,12.53247962
318.1674833,107.5008058,12.67845202
318.66725,107.6206653,12.90290575
319.16735,107.3673142,12.49779265
319.6686,107.554444,12.69299772
320.16775,107.3014516,12.56519197
320.6674833,107.2060818,12.48708941
321.1675,107.5089059,12.74541205
321.6674333,107.4472353,12.60481553
322.1686333,107.4588871,12.52052515
322.66735,107.5398719,12.71853073
323.1677833,107.2332901,12.89878007
323.6675,107.4800641,12.65038833
324.1675,107.3531204,12.74268339
324.6672833,107.3480317,12.94113804
325.1670333,107.5254276,12.77006892
325.66755,107.2611613,12.73754608
326.1675667,107.2016828,12.81854879
